Day,Flowrate ,Riverheight
25,30.1,1.255
25.01041667,29.9,1.251
25.02083333,29.5,1.243
25.03125,29.3,1.239
25.04166667,29.1,1.235
25.05208333,28.8,1.229
25.0625,28.5,1.223
25.07291667,28.3,1.219
25.08333333,28.1,1.214
25.09375,27.8,1.208
25.10416667,27.5,1.201
25.11458333,27.3,1.197
25.125,27.1,1.193
25.13541667,26.9,1.19
25.14583333,26.6,1.182
25.15625,26.5,1.181
25.16666667,26.3,1.176
25.17708333,26.2,1.174
25.1875,26,1.169
25.19791667,25.8,1.165
25.20833333,25.7,1.162
25.21875,25.6,1.16
25.22916667,25.3,1.154
25.23958333,25.2,1.152
25.25,25,1.148
25.26041667,24.8,1.144
25.27083333,24.7,1.141
25.28125,24.7,1.141
25.29166667,24.7,1.141
25.30208333,24.7,1.141
25.3125,24.8,1.142
25.32291667,24.7,1.14
25.33333333,24.8,1.142
25.34375,24.6,1.138
25.35416667,24.5,1.136
25.36458333,24.3,1.132
25.375,24.2,1.13
25.38541667,24,1.124
25.39583333,23.9,1.122
25.40625,23.9,1.122
25.41666667,23.7,1.118
25.42708333,23.7,1.117
25.4375,23.6,1.116
25.44791667,23.5,1.114
25.45833333,23.4,1.112
25.46875,23.5,1.114
25.47916667,23.6,1.116
25.48958333,23.7,1.118
25.5,23.9,1.122
25.51041667,24,1.125
25.52083333,24.1,1.128
25.53125,24.3,1.132
25.54166667,24.4,1.133
25.55208333,24.4,1.134
25.5625,24.6,1.138
25.57291667,24.6,1.138
25.58333333,24.8,1.143
25.59375,25.1,1.149
25.60416667,25.4,1.157
25.61458333,25.7,1.164
25.625,26.2,1.173
25.63541667,26.4,1.178
25.64583333,26.5,1.18
25.65625,26.7,1.185
25.66666667,26.8,1.187
25.67708333,26.9,1.188
25.6875,27.1,1.194
25.69791667,27.4,1.2
25.70833333,27.8,1.208
25.71875,28.5,1.222
25.72916667,29.4,1.241
25.73958333,30.5,1.262
25.75,32.1,1.294
25.76041667,34,1.33
25.77083333,36.4,1.372
25.78125,39.4,1.424
25.79166667,42.6,1.476
25.80208333,46.4,1.535
25.8125,50.3,1.593
25.82291667,55.3,1.662
25.83333333,62.3,1.754
25.84375,73.5,1.887
25.85416667,88.6,2.048
25.86458333,107,2.227
25.875,126,2.385
25.88541667,142,2.524
25.89583333,157,2.651
25.90625,168,2.747
25.91666667,184,2.871
25.92708333,190,2.919
25.9375,199,2.984
25.94791667,207,3.045
25.95833333,213,3.084
25.96875,217,3.118
25.97916667,222,3.15
25.98958333,228,3.195
26,231,3.214
26.01041667,236,3.246
26.02083333,238,3.26
26.03125,240,3.276
26.04166667,240,3.274
26.05208333,239,3.27
26.0625,236,3.251
26.07291667,235,3.243
26.08333333,231,3.216
26.09375,224,3.168
26.10416667,221,3.144
26.11458333,218,3.121
26.125,212,3.081
26.13541667,207,3.046
26.14583333,201,3.001
26.15625,197,2.972
26.16666667,193,2.939
26.17708333,188,2.899
26.1875,184,2.868
26.19791667,181,2.848
26.20833333,175,2.801
26.21875,172,2.778
26.22916667,169,2.754
26.23958333,167,2.735
26.25,167,2.74
26.26041667,168,2.742
26.27083333,170,2.763
26.28125,173,2.786
26.29166667,180,2.843
26.30208333,187,2.892
26.3125,198,2.978
26.32291667,210,3.065
26.33333333,224,3.164
26.34375,239,3.268
26.35416667,261,3.418
26.36458333,279,3.536
26.375,297,3.649
26.38541667,318,3.775
26.39583333,331,3.853
26.40625,354,3.989
26.41666667,367,4.065
26.42708333,385,4.161
26.4375,399,4.24
26.44791667,417,4.337
26.45833333,436,4.437
26.46875,441,4.465
26.47916667,455,4.534
26.48958333,466,4.594
26.5,474,4.632
26.51041667,476,4.64
26.52083333,493,4.728
26.53125,518,4.847
26.54166667,528,4.899
26.55208333,539,4.948
26.5625,554,5.02
26.57291667,569,5.092
26.58333333,582,5.15
26.59375,605,5.254
26.60416667,619,5.319
26.61458333,638,5.4
26.625,642,5.421
26.63541667,656,5.48
26.64583333,663,5.511
26.65625,663,5.513
26.66666667,679,5.579
26.67708333,688,5.619
26.6875,692,5.636
26.69791667,700,5.668
26.70833333,695,5.649
26.71875,699,5.666
26.72916667,694,5.646
26.73958333,690,5.629
26.75,698,5.661
26.76041667,692,5.634
26.77083333,691,5.63
26.78125,685,5.604
26.79166667,677,5.572
26.80208333,658,5.489
26.8125,642,5.42
26.82291667,629,5.361
26.83333333,601,5.236
26.84375,578,5.132
26.85416667,555,5.026
26.86458333,519,4.856
26.875,493,4.727
26.88541667,462,4.57
26.89583333,432,4.416
26.90625,411,4.304
26.91666667,388,4.182
26.92708333,365,4.049
26.9375,346,3.945
26.94791667,329,3.84
26.95833333,315,3.756
26.96875,307,3.707
26.97916667,298,3.655
26.98958333,294,3.631
27,291,3.611
27.01041667,286,3.576
27.02083333,283,3.563
27.03125,280,3.539
27.04166667,276,3.517
27.05208333,269,3.472
27.0625,264,3.439
27.07291667,260,3.408
27.08333333,253,3.363
27.09375,242,3.291
27.10416667,237,3.254
27.11458333,230,3.211
27.125,221,3.144
27.13541667,213,3.09
27.14583333,207,3.046
27.15625,203,3.017
27.16666667,197,2.973
27.17708333,192,2.933
27.1875,186,2.884
27.19791667,182,2.852
27.20833333,176,2.809
27.21875,172,2.774
27.22916667,167,2.736
27.23958333,164,2.709
27.25,158,2.664
27.26041667,155,2.64
27.27083333,152,2.609
27.28125,148,2.575
27.29166667,145,2.556
27.30208333,142,2.529
27.3125,138,2.496
27.32291667,135,2.465
27.33333333,134,2.454
27.34375,131,2.427
27.35416667,126,2.385
27.36458333,125,2.378
27.375,124,2.365
27.38541667,120,2.337
27.39583333,118,2.322
27.40625,117,2.306
27.41666667,114,2.283
27.42708333,112,2.27
27.4375,109,2.241
27.44791667,108,2.236
27.45833333,105,2.203
27.46875,104,2.197
27.47916667,103,2.185
